,access_time,bytes_in,bytes_out,source_ip,dest_ip,dest_port,country_code,fingerprint,dna
245,2024-04-26T09:20:00Z,1942449.0,49030.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",40887f2b174ba7585aaf418f16e577cca61c156bdbcb28e808eb50227e077419
246,2024-04-26T09:20:00Z,3976.0,11176.0,94.188.248.74,10.138.69.97,443.0,IL,"From Israel, at 09:20:AM, accessed port 443.0, sent more data out than recieved",b85eb1738fd8b51a4eb3d9c7978ec86c368c6720ed7d2f0bc8b457271ec64d26
247,2024-04-26T09:20:00Z,10162.0,23142.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 09:20:AM, accessed port 443.0, sent more data out than recieved",635f7091a108d44345d4005d9b258033cc83931c17b241aab13c61ce12e34091
248,2024-04-26T09:20:00Z,18231909.0,1116695.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",b9e96b75d133f7312301eba49b8617929fc0f7d5a0560129fb46e507f78d9e8e
249,2024-04-26T09:20:00Z,22070.0,23511.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 09:20:AM, accessed port 443.0, sent more data out than recieved",e76649d0f11cdc85c2ac3e9799c13991fcc80c562c57c34ed33f95339741e512
250,2024-04-26T09:20:00Z,10222.0,15024.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 09:20:AM, accessed port 443.0, sent more data out than recieved",0c0937983bbc12c3776e1fc05522aa1ea775381e89c5819e3d4b1f95cf09dd1d
251,2024-04-26T09:30:00Z,4392.0,11674.0,147.161.161.82,10.138.69.97,443.0,AE,"From United Arab Emirates, at 09:30:AM, accessed port 443.0, sent more data out than recieved",83cae79f61d0db221d0418ec34b3b63ea12aafc2f0b0ac2f2f802891f4b11237
252,2024-04-26T09:30:00Z,14150.0,26266.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 09:30:AM, accessed port 443.0, sent more data out than recieved",1d02819f2694f3ba6769b5e4f7d3d53277a6a9c14a7b2a2afc5de33355bbfa84
253,2024-04-26T09:30:00Z,43550.0,13546.0,136.226.64.114,10.138.69.97,443.0,US,"From United States, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",d88c8eef4b1769a8dc09665877200c8f1f39986cfcf5d7573139bd95f87e8635
254,2024-04-26T09:30:00Z,7474.0,14080.0,94.188.248.74,10.138.69.97,443.0,IL,"From Israel, at 09:30:AM, accessed port 443.0, sent more data out than recieved",1c47fe102de632a77073755d9ed26ccff242fbf268247769dd0524770861b145
255,2024-04-26T09:30:00Z,1248666.0,38254.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",3a32fa0db7c7ee1ebc39bb35f266fdce1cb36225fb4af0df6171940f3bc6957d
256,2024-04-26T09:30:00Z,9908.0,14552.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 09:30:AM, accessed port 443.0, sent more data out than recieved",fd85bea8442507a2f9cc99ebeda1bdb4653364ccbbd829e4bfa865ea7dc1ffa4
257,2024-04-26T09:30:00Z,24326941.0,1529035.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",d88c8eef4b1769a8dc09665877200c8f1f39986cfcf5d7573139bd95f87e8635
258,2024-04-26T09:30:00Z,28062.0,52066.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 09:30:AM, accessed port 443.0, sent more data out than recieved",c79a08ccf172363bf716475fd1a45ce200451ee15a1020ada497f5a946a166c9
