Behaviour,DNA,Count
"From United States, at 08:10:AM, accessed port 443.0, sent more data out than recieved",19522818fcf4f783dc2ad0f4e13f69246888c5c464243c91af3ba01216cba692,1
"From Austria, at 08:50:AM, accessed port 443.0, sent more data out than recieved",1c0acfced78a2630cbf4bdc08704e17bac95496d142ed33b8db9f050095ddaa7,1
"From Germany, at 01:50:AM, accessed port 443.0, sent more data out than recieved",12c2b91e767f6de083e8bdc6af11ec720c827f0230bb2dd60333b48a8fe1d4de,1
"From Netherlands, at 11:40:PM, accessed port 443.0, recieved more data in than sent out",13b99fac4121df960a178504c00192192948df8758b226020fffd2f9c83ce399,1
"From Israel, at 08:20:AM, accessed port 443.0, sent more data out than recieved",16bba375130accb4aba9685bffa588d4459c8a2ed4054f1996fe95493b440252,1
"From United Arab Emirates, at 08:30:AM, accessed port 443.0, sent more data out than recieved",10e0a7e2c640428a035a5de0de8003862383bcf61cf9b700678a2c657230e66b,1
"From United Arab Emirates, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",5cc8599c9b05c014fed5f2e261cbb8f9db466e9e7877d85757f8c3df051967b8,1
"From United Arab Emirates, at 01:50:AM, accessed port 443.0, recieved more data in than sent out",5be9d2a063182cb072be8337d8d11595bfa927b8e57fe7ed7106cfe1fd5e2478,1
"From United States, at 08:00:AM, accessed port 443.0, sent more data out than recieved",5a7cf8bb839151976ae22364d35c5dde0b7ed3d3d9c672db9e64f78be973612a,1
"From Canada, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",584aa6c28127a7ccd7fa9015fccfb5e52fdb218c647e115aad68e7c6a9db540e,1
"From Germany, at 11:00:PM, accessed port 443.0, sent more data out than recieved",56d76083f972488fa7824df7bbddee385fa5340b72fc4dccd73d79883ff6bb87,1
"From Germany, at 08:40:AM, accessed port 443.0, sent more data out than recieved",57f670447ddd7dd6af3a1aaf2843ffdbac4c07c2c426b48965fa1c72087837c9,1
"From Austria, at 11:50:PM, accessed port 443.0, sent more data out than recieved",4d3e17dda89acad166f4e0c684961e48ec461b13d775c705c2fb603e152426b8,1
"From Germany, at 11:40:PM, accessed port 443.0, sent more data out than recieved",546e7d167f59cd3076f8a1ef45418382947d3064286cc7e35e41a3d9e545c803,1
"From Austria, at 01:50:AM, accessed port 443.0, sent more data out than recieved",478da0bb6f21a83a2f65ecd087aa4855d83899491bcd4524212b49e2c58383b3,1
"From Austria, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",44a1916106ff35f25c566250193f1a6c87b1f1f35272704aeefbab5a966f3f8b,1
"From United States, at 08:30:AM, accessed port 443.0, sent more data out than recieved",3ddfba1774ab63c1f0c42cfacc88054aabc6f5480065a9d04eb8b3c5fd655900,1
"From Germany, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",3ebf46d5ebbfebc1d6bf80e906298fe642f0261721ee72825044a81b2656b110,1
"From United States, at 11:40:PM, accessed port 443.0, sent more data out than recieved",41db6ff3ce036861ccee369ce2ddc8b5e1ec9b9d130cd6232d7fcdb4de0a73e4,1
"From Netherlands, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",40887f2b174ba7585aaf418f16e577cca61c156bdbcb28e808eb50227e077419,1
